layers,z_A,z_from_central_gap_A,planar_LVHAR_eV,macro_LVHAR_eV,planar_density_e_per_A3,lower_vacuum_eV,upper_vacuum_eV,macro_inside_slab
2,0,-20.7616462856,6.00578513679,6.00550407513,1.2301040735e-07,4.58083283089,7.43051484931,0
2,0.0649504552242,-20.6966958304,5.45775073454,5.99025921911,1.25872403798e-07,4.58083283089,7.43051484931,0
2,0.129900910448,-20.6317453752,4.99568762476,5.9750127273,1.30366494446e-07,4.58083283089,7.43051484931,0
2,0.194851365673,-20.5667949199,4.68838358922,5.9597651624,1.35859856182e-07,4.58083283089,7.43051484931,0
2,0.259801820897,-20.5018444647,4.58097956686,5.94451577397,1.41291649198e-07,4.58083283089,7.43051484931,0
2,0.324752276121,-20.4368940095,4.58094286123,5.92926505493,1.45709396063e-07,4.58083283089,7.43051484931,0
2,0.389702731345,-20.3719435543,4.58097841405,5.91401218173,1.48763604296e-07,4.58083283089,7.43051484931,0
2,0.454653186569,-20.306993099,4.58094168632,5.89875756243,1.5092516329e-07,4.58083283089,7.43051484931,0
2,0.519603641793,-20.2420426438,4.58097685428,5.88350027642,1.53260321925e-07,4.58083283089,7.43051484931,0
2,0.584554097018,-20.1770921886,4.5809400558,5.86824061797,1.56864687979e-07,4.58083283089,7.43051484931,0
2,0.649504552242,-20.1121417334,4.58097482502,5.85297753272,1.62275501686e-07,4.58083283089,7.43051484931,0
2,0.714455007466,-20.0471912781,4.58093793669,5.83771116308,1.69213376782e-07,4.58083283089,7.43051484931,0
2,0.77940546269,-19.9822408229,4.58097231603,5.82244026705,1.7675160735e-07,4.58083283089,7.43051484931,0
2,0.844355917914,-19.9172903677,4.58093532403,5.80716476879,1.83792854181e-07,4.58083283089,7.43051484931,0
2,0.909306373138,-19.8523399125,4.58096932839,5.79188315441,1.89612038285e-07,4.58083283089,7.43051484931,0
2,0.974256828363,-19.7873894572,4.58093220526,5.77659503114,1.9424542172e-07,4.58083283089,7.43051484931,0
2,1.03920728359,-19.722439002,4.58096579847,5.76129848864,1.98513988626e-07,4.58083283089,7.43051484931,0
2,1.10415773881,-19.6574885468,4.58092846441,5.74599267061,2.03624364101e-07,4.58083283089,7.43051484931,0
2,1.16910819404,-19.5925380916,4.58096161166,5.73067508879,2.10519817426e-07,4.58083283089,7.43051484931,0
2,1.23405864926,-19.5275876363,4.58092403443,5.71534420884,2.19371597272e-07,4.58083283089,7.43051484931,0
2,1.29900910448,-19.4626371811,4.58095677126,5.69999669894,2.29504039606e-07,4.58083283089,7.43051484931,0
2,1.36395955971,-19.3976867259,4.58091895755,5.68463002887,2.39778424901e-07,4.58083283089,7.43051484931,0
2,1.42891001493,-19.3327362707,4.58095128913,5.66923962562,2.49181599648e-07,4.58083283089,7.43051484931,0
2,1.49386047016,-19.2677858154,4.58091318539,5.65382148026,2.573342591e-07,4.58083283089,7.43051484931,0
2,1.55881092538,-19.2028353602,4.58094506588,5.63836917957,2.64692444645e-07,4.58083283089,7.43051484931,0
2,1.6237613806,-19.137884905,4.58090660822,5.62287651403,2.723564439e-07,4.58083283089,7.43051484931,0
2,1.68871183583,-19.0729344498,4.58093801913,5.60733434197,2.81528541694e-07,4.58083283089,7.43051484931,0
2,1.75366229105,-19.0079839946,4.58089917417,5.59173318229,2.92879489971e-07,4.58083283089,7.43051484931,0
2,1.81861274628,-18.9430335393,4.58093014396,5.57605984426,3.06170868427e-07,4.58083283089,7.43051484931,0
2,1.8835632015,-18.8780830841,4.58089089787,5.56029996895,3.20386133711e-07,4.58083283089,7.43051484931,0
2,1.94851365673,-18.8131326289,4.5809213659,5.54443432251,3.34289921039e-07,4.58083283089,7.43051484931,0
2,2.01346411195,-18.7481821737,4.58088160061,5.52844122788,3.47096763264e-07,4.58083283089,7.43051484931,0
2,2.07841456717,-18.6832317184,4.5809115226,5.51229238166,3.5887474959e-07,4.58083283089,7.43051484931,0
2,2.1433650224,-18.6182812632,4.58087122299,5.4959550989,3.70510578678e-07,4.58083283089,7.43051484931,0
2,2.20831547762,-18.553330808,4.58090062157,5.47938746186,3.83265320753e-07,4.58083283089,7.43051484931,0
2,2.27326593285,-18.4883803528,4.5808597248,5.46254026534,3.98149598906e-07,4.58083283089,7.43051484931,0
2,2.33821638807,-18.4234298975,4.58088855089,5.44535121023,4.15408795813e-07,4.58083283089,7.43051484931,0
2,2.40316684329,-18.3584794423,4.58084699386,5.42774636602,4.34400354677e-07,4.58083283089,7.43051484931,0
2,2.46811729852,-18.2935289871,4.58087520846,5.40963298127,4.53933767033e-07,4.58083283089,7.43051484931,0
2,2.53306775374,-18.2285785319,4.58083290334,5.39090021552,4.72907623814e-07,4.58083283089,7.43051484931,0
2,2.59801820897,-18.1636280766,4.58086049444,5.37141002636,4.9088773494e-07,4.58083283089,7.43051484931,0
2,2.66296866419,-18.0986776214,4.58081742067,5.35099694994,5.08343527596e-07,4.58083283089,7.43051484931,0
2,2.72791911942,-18.0337271662,4.580844339,5.3294565433,5.26431156827e-07,4.58083283089,7.43051484931,0
2,2.79286957464,-17.968776711,4.5808003721,5.30654621155,5.46445325158e-07,4.58083283089,7.43051484931,0
2,2.85782002986,-17.9038262557,4.58082655503,5.28201475371,5.69177691154e-07,4.58083283089,7.43051484931,0
2,2.92277048509,-17.8388758005,4.58078159004,5.25566855832,5.94509915211e-07,4.58083283089,7.43051484931,0
