pilot,source_directory,expected_frontier_separation_eV,expected_final_force_eV_per_A,expected_ionic_steps,expected_total_scf,expected_interpretation,EIGENVAL_sha256,vasprun.xml_sha256,OUTCAR_sha256,CONTCAR_sha256
A0,calculation/01_runtime_pilot/01_beta_basal/00_static_no_dipole,-0.11656400000000011,0.5113790800012961,1,29,SAMPLED_BAND_OVERLAP,d2b95471977498154b8b759a79e3e9502a42a0f8f4f9b10fd9f9e37649044f11,eb49bfd5e571fad5752778cfe77653012648027c893703be2a86dd53d95730dd,23d3832cb0097bdcbbddcd2545f0bd19367c3a57ef9737473e08e03b32c2376b,2e883d53a7bd533f0da8018f31e40d84cd1076edd015aeff3f1c53cd3a8cb0fe
A1,calculation/01_runtime_pilot/01_beta_basal/01_static_dipole,-0.12794899999999998,0.5290504100025754,1,20,SAMPLED_BAND_OVERLAP,a1583bdd92ae702e44a1424b12c32891d952ab2827eb2e8bdf46954c6c8269b3,e8b2856f0210d71a885f43b1323df50050686ffde353f61ccc2d6e3c33b65066,ed0d5813dfa9cab1d5965275544c25dde733e066133230244a7e4687cfa22aaf,2e883d53a7bd533f0da8018f31e40d84cd1076edd015aeff3f1c53cd3a8cb0fe
B0,calculation/01_runtime_pilot/02_beta_edge/00_static_dipole,-0.07361099999999987,2.042432879286623,1,41,SAMPLED_BAND_OVERLAP,d44406d72fa4ac4c1c9f7f205cbdcca4dd057ac3316e0e96642bbfafc2960c3c,6fddd3ac7cd66fe5549df1b9dae4f97712ebe2c27da4c9d122b7af00f4fd81d9,38c5047057c3ff592ec1c3612135e30f24ac9212e9cce04bad67df0bc968fa6f,9a2ef3e3d248e3c8983addd7066a0edb9febf86fdb0a827eeeacfb19119ae471
A2,calculation/01_runtime_pilot/01_beta_basal/02_relaxation,1.0000000000065512e-05,0.019831560223928426,18,139,NEAR_TOUCHING_UNRESOLVED,933a6b29f451cd157d024699da04c7ea16f373a51b315b813f6bdce4fc7ed7fc,e7361d3a2663407acf057830be2e530d4e2c1862885657f137c823a2e04a06b4,6c7d9e802e79364d3dd5ef6a98fbd7877e7767f026b102af0950d982d6516468,4cc0f0f8f98d522873fbe2efd664307d3a4c1adbe38f8b880c6c1807315c1d20
B1,calculation/01_runtime_pilot/02_beta_edge/01_relaxation,0.7422420000000001,0.03741453639960143,100,1772,FINITE_SAMPLED_FRONTIER_SEPARATION,321a5916a96fceafa14b84de85ca12f72f4f426f7747d836594bcf1d1089ad7b,9d238ca6fa9157fe612eb4234ab716e3c4752ae7d1323f0fa66b0d3cf9afbf1f,eadedcffd88864753cc1a0d2f4f620f2149153011b40bedf13ace9fd70ed8aa7,669154a7c1017ccb0a9539a442303238aaed8402eb5f0b1dd808eb32bb7b405b
