pilot,surface_id,lower_face_id,upper_face_id,source_directory,source_eigenval,source_xml,source_structure_sha256,accepted_role,face_identity_note,production_surface_gap_status,normal_termination,program_termination,electronic_converged,electronic_convergence_status,ionic_convergence_status,force_converged,force_target_eV_per_A,geometry_acceptance_status,geometry_identity_verified,input_settings_verified,timeout_evidence,ionic_steps,walltime_s,nelect,final_energy_eV,minimum_max_force_eV_per_A,minimum_force_step,charge_density_status,charge_integral_electrons,final_max_force_eV_per_A,total_scf_iterations,frontier_band_separation_eV,minimum_direct_frontier_separation_eV,frontier_valence_band_index,frontier_conduction_band_index,frontier_interpretation,validation_status,frontier_resolution_eV,occupation_convention,partial_occupation_present,partial_occupation_count,nelect_check,electron_count_tolerance,original_weight_sum,occupation_min,occupation_max,reason,eigenval_xml_max_difference,xml_nelect_check,xml_electron_count_tolerance,eigenval_xml_status,occupation_convention_evidence,automatic_lower_status,automatic_upper_status,distant_window_status,distant_upper_minus_lower_potential_eV,max_displacement_A,final_free_energy_eV,entropy_magnitude_meV_per_atom,dipole_z_eA,isolated_sheet_step_from_dipole_eV
A0,beta_001_t07,beta_001_t07_lower,beta_001_t07_upper,calculation/01_runtime_pilot/01_beta_basal/00_static_no_dipole,calculation/01_runtime_pilot/01_beta_basal/00_static_no_dipole/EIGENVAL,calculation/01_runtime_pilot/01_beta_basal/00_static_no_dipole/vasprun.xml,4904ae4438034ce96765d8bc49ffa974e66e063fcda4b345a784cff3ed386cf2,ACCEPTED_UNCORRECTED_STATIC_CONTROL,Inherited face labels; no equivalence or endpoint coordination claim,NOT_ESTABLISHED,True,NORMAL,True,CONVERGED_ALL_STEPS,NOT_APPLICABLE,,,STATIC_CONTROL_ONLY,True,True,False,1,144.504,62.0,-28.23437704,,,VALIDATED_NELECT_INTEGRAL,61.99999896293672,0.5113790800012961,29,-0.11656400000000011,1.0000000000287557e-06,31,32,SAMPLED_BAND_OVERLAP,VALIDATED,0.0001,VASP_6.6.1_ISPIN1_FULL_1,True,6,61.99999999999997,3.7999999999999995e-05,1.0000000000000002,0.0,1.0,Sampled frontier manifold only; no production gap or experimental metallicity claim,5.000000000165983e-05,62.00000399999997,0.0038,VALIDATED,Unscaled EIGENVAL/XML arrays agree; both weighted electron counts validated,NO_CONFIRMED_PLATEAU,NO_CONFIRMED_PLATEAU,NO_CONFIRMED_FIELD_FREE_REFERENCE,,0.0,-28.23593881,0.4462185714285714,,
A1,beta_001_t07,beta_001_t07_lower,beta_001_t07_upper,calculation/01_runtime_pilot/01_beta_basal/01_static_dipole,calculation/01_runtime_pilot/01_beta_basal/01_static_dipole/EIGENVAL,calculation/01_runtime_pilot/01_beta_basal/01_static_dipole/vasprun.xml,4904ae4438034ce96765d8bc49ffa974e66e063fcda4b345a784cff3ed386cf2,ACCEPTED_CORRECTED_BASAL_STATIC_CONTROL,Inherited face labels; no equivalence or endpoint coordination claim,NOT_ESTABLISHED,True,NORMAL,True,CONVERGED_ALL_STEPS,NOT_APPLICABLE,,,STATIC_CONTROL_ONLY,True,True,False,1,98.014,62.0,-28.21684149,,,VALIDATED_NELECT_INTEGRAL,61.999998962761374,0.5290504100025754,20,-0.12794899999999998,9.999999999177334e-07,31,32,SAMPLED_BAND_OVERLAP,VALIDATED,0.0001,VASP_6.6.1_ISPIN1_FULL_1,True,6,61.99999999999997,3.7999999999999995e-05,1.0000000000000002,0.0,1.0,Sampled frontier manifold only; no production gap or experimental metallicity claim,5.000000000165983e-05,61.99999999999997,0.0038,VALIDATED,Unscaled EIGENVAL/XML arrays agree; both weighted electron counts validated,NO_CONFIRMED_PLATEAU,NO_CONFIRMED_PLATEAU,CANDIDATE_PLATEAUS_BOTH_FACES,2.9435301254772694,0.0,-28.21847077,0.46550857142857144,0.212077,2.946085325892648
B0,beta_100_t02,beta_100_t02_lower,beta_100_t02_upper,calculation/01_runtime_pilot/02_beta_edge/00_static_dipole,calculation/01_runtime_pilot/02_beta_edge/00_static_dipole/EIGENVAL,calculation/01_runtime_pilot/02_beta_edge/00_static_dipole/vasprun.xml,a9093aeae6649f41fcf8c675d227b58b03419ccc8e20124dbf772034a5ff5f47,ACCEPTED_UNRELAXED_EDGE_STATIC_CONTROL,Inherited face labels; no equivalence or endpoint coordination claim,NOT_ESTABLISHED,True,NORMAL,True,CONVERGED_ALL_STEPS,NOT_APPLICABLE,,,STATIC_CONTROL_ONLY,True,True,False,1,1338.107,248.0,-107.63692159,,,VALIDATED_NELECT_INTEGRAL,247.99999279641375,2.042432879286623,41,-0.07361099999999987,0.0010310000000000041,124,125,SAMPLED_BAND_OVERLAP,VALIDATED,0.0001,VASP_6.6.1_ISPIN1_FULL_1,True,29,247.99999984648443,0.000148,0.9999999500000001,0.0,1.0,Sampled frontier manifold only; no production gap or experimental metallicity claim,5.000000000165983e-05,247.9999851798172,0.0148,VALIDATED,Unscaled EIGENVAL/XML arrays agree; both weighted electron counts validated,NO_CONFIRMED_PLATEAU,NO_CONFIRMED_PLATEAU,CANDIDATE_PLATEAUS_BOTH_FACES,-1.231435120992371,0.0,-107.64694529,0.7159785714285715,-0.320576,-1.2312117758817989
A2,beta_001_t07,beta_001_t07_lower,beta_001_t07_upper,calculation/01_runtime_pilot/01_beta_basal/02_relaxation,calculation/01_runtime_pilot/01_beta_basal/02_relaxation/EIGENVAL,calculation/01_runtime_pilot/01_beta_basal/02_relaxation/vasprun.xml,4904ae4438034ce96765d8bc49ffa974e66e063fcda4b345a784cff3ed386cf2,FORCE_CONVERGED_SINGLE_LAYER_SEED,Inherited face labels; no equivalence or endpoint coordination claim,NOT_ESTABLISHED,True,NORMAL,True,CONVERGED_ALL_STEPS,FORCE_CONVERGED,True,0.02,FORCE_CONVERGED_PILOT,True,True,False,18,758.026,62.0,-28.28071082,0.019831560223928426,18,VALIDATED_NELECT_INTEGRAL,61.99999985686162,0.019831560223928426,139,1.0000000000065512e-05,1.0000000000065512e-05,31,32,NEAR_TOUCHING_UNRESOLVED,VALIDATED,0.0001,VASP_6.6.1_ISPIN1_FULL_1,True,2,61.99999997999997,3.7999999999999995e-05,1.0000000000000002,0.0,1.0,Sampled frontier manifold only; no production gap or experimental metallicity claim,5.000000000077165e-05,61.99999799999997,0.0038,VALIDATED,Unscaled EIGENVAL/XML arrays agree; both weighted electron counts validated,NO_CONFIRMED_PLATEAU,NO_CONFIRMED_PLATEAU,CANDIDATE_PLATEAUS_BOTH_FACES,2.471705309102151,0.19060420112135862,-28.28099686,0.08172571428571429,0.177947,2.471965585549678
B1,beta_100_t02,beta_100_t02_lower,beta_100_t02_upper,calculation/01_runtime_pilot/02_beta_edge/01_relaxation,calculation/01_runtime_pilot/02_beta_edge/01_relaxation/EIGENVAL,calculation/01_runtime_pilot/02_beta_edge/01_relaxation/vasprun.xml,a9093aeae6649f41fcf8c675d227b58b03419ccc8e20124dbf772034a5ff5f47,CANDIDATE_CONTINUATION_GEOMETRY_REQUIRING_REVIEW,Inherited face labels; no equivalence or endpoint coordination claim,NOT_ESTABLISHED,True,NORMAL,True,CONVERGED_ALL_STEPS,NSW_LIMIT_FORCE_UNCONVERGED,False,0.02,CANDIDATE_CONTINUATION_REVIEW_REQUIRED,True,True,False,100,48370.752,248.0,-111.56866041,0.035807236681973935,99,VALIDATED_NELECT_INTEGRAL,247.9999934396529,0.03741453639960143,1772,0.7422420000000001,0.774108,124,125,FINITE_SAMPLED_FRONTIER_SEPARATION,VALIDATED,0.0001,VASP_6.6.1_ISPIN1_FULL_1,False,0,248.0,0.000148,0.9999999500000001,0.0,1.0,Sampled frontier manifold only; no production gap or experimental metallicity claim,5.000000000077165e-05,248.0,0.0148,VALIDATED,Unscaled EIGENVAL/XML arrays agree; both weighted electron counts validated,NO_CONFIRMED_PLATEAU,NO_CONFIRMED_PLATEAU,CANDIDATE_PLATEAUS_BOTH_FACES,0.08028646702626308,1.6797120411221333,-111.56866041,0.0,0.020923,0.08035736652426366
